Id,date,Open,High,Low,close,Vol.,Change %
1822,13-Jul-15,310.4,310.9,276.9,290.4,146.85K,-6.47%
1823,14-Jul-15,290.4,297,285.2,287,60.62K,-1.17%
1824,15-Jul-15,287,292.9,283.2,283.4,59.58K,-1.23%
1825,16-Jul-15,283.4,290.8,273.3,276.6,121.32K,-2.41%
1826,17-Jul-15,276.6,280.8,271.2,279.6,62.12K,1.10%
1827,18-Jul-15,279.6,282.5,243.2,274,55.34K,-1.99%
1828,19-Jul-15,274,277.1,271.9,273.2,30.20K,-0.32%
1829,20-Jul-15,273.2,278.9,271.8,277.7,46.60K,1.65%
1830,21-Jul-15,277.7,281,274.2,275.1,49.05K,-0.93%
1831,22-Jul-15,275.1,277.4,273.1,276.5,41.97K,0.50%
1832,23-Jul-15,276.5,277.9,274.5,275.5,35.66K,-0.34%
1833,24-Jul-15,275.5,289.8,274.3,288.4,74.36K,4.66%
1834,25-Jul-15,288.4,291.2,284.7,288.7,41.65K,0.13%
1835,26-Jul-15,288.7,293.3,286.8,291.8,30.99K,1.05%
1836,27-Jul-15,291.8,295.8,285.4,293,69.71K,0.42%
1837,28-Jul-15,293,296.7,291.7,293.7,49.07K,0.24%
1838,29-Jul-15,293.7,294.7,286.9,288.4,50.67K,-1.81%
1839,30-Jul-15,288.4,289.9,284.9,287,44.79K,-0.47%
1840,31-Jul-15,287,288.7,280.8,283.7,49.21K,-1.15%
1841,1-Aug-15,283.7,284.5,276.3,280.5,39.43K,-1.15%
1842,2-Aug-15,280.5,282.5,275.9,281.4,35.67K,0.32%
1843,3-Aug-15,281.4,285,278.9,281.6,45.89K,0.08%
1844,4-Aug-15,281.6,285.7,279.6,284.3,44.84K,0.97%
1845,5-Aug-15,284.3,285.5,280.5,281.7,38.29K,-0.91%
1846,6-Aug-15,281.7,282,276.5,278,33.26K,-1.32%
1847,7-Aug-15,278,279.6,274.3,277.9,42.81K,-0.04%
1848,8-Aug-15,277.9,278.9,257.4,258.6,82.54K,-6.94%
1849,9-Aug-15,258.6,266.8,258.6,263.9,57.48K,2.04%
1850,10-Aug-15,263.9,266.6,260.5,263.3,48.57K,-0.22%
1851,11-Aug-15,263.3,269.9,261.4,269,51.36K,2.18%
1852,12-Aug-15,269,271.5,263.7,267.7,56.73K,-0.51%
1853,13-Aug-15,267.7,268.4,261.3,263.4,56.49K,-1.58%
1854,14-Aug-15,263.4,267.2,260.2,265,52.33K,0.60%
1855,15-Aug-15,265,266.5,259.4,260.5,38.91K,-1.70%
1856,16-Aug-15,260.5,261.9,254.6,257.1,69.04K,-1.31%
1857,17-Aug-15,257.1,259.9,252.9,257.1,47.88K,0.00%
1858,18-Aug-15,257.1,257.5,245.7,246.7,94.50K,-4.05%
1859,19-Aug-15,246.7,247.9,214.3,226,245.82K,-8.40%
1860,20-Aug-15,226,238,225.5,234.7,90.98K,3.83%
1861,21-Aug-15,234.7,236.3,230.5,232.4,57.65K,-0.96%
1862,22-Aug-15,232.4,235.1,221,229.5,74.21K,-1.23%
1863,23-Aug-15,229.5,232.7,224.3,226.8,48.84K,-1.22%
1864,24-Aug-15,226.8,228.4,207.8,211.4,196.70K,-6.76%
1865,25-Aug-15,211.4,226.6,196.3,220.5,190.79K,4.29%
1866,26-Aug-15,220.5,230.7,218.8,225,92.81K,2.02%
1867,27-Aug-15,225,228.4,222,222.7,60.25K,-1.00%
1868,28-Aug-15,222.7,234.8,219.6,231.6,90.66K,4.00%
1869,29-Aug-15,231.6,233.1,226.4,228.5,43.74K,-1.36%
1870,30-Aug-15,228.5,232.3,225.4,228.4,39.81K,-0.04%
1871,31-Aug-15,228.4,231.8,224.2,229.5,54.51K,0.47%
1872,1-Sep-15,229.5,231.4,225.8,227.2,66.54K,-1.00%
1873,2-Sep-15,227.2,230.6,225.6,228.6,58.77K,0.64%
1874,3-Sep-15,228.6,229.6,225.4,226.2,54.15K,-1.06%
